main-captions,MSRvid,2012test,1,5,एक विमान उतार रहा है।,एक हवाई विमान उतार रहा है।
main-captions,MSRvid,2012test,4,3.8,एक आदमी एक बड़ी बांसुरी बजा रहा है।,एक आदमी एक बांसुरी बजा रहा है।
main-captions,MSRvid,2012test,5,3.8,एक आदमी पिज्जा पर कटा हुआ पनीर फैला रहा है।,एक आदमी एक बिना पके हुए पिज्जा पर कटा हुआ पनीर फैला रहा है।
main-captions,MSRvid,2012test,6,2.6,तीन आदमी शतरंज खेल रहे हैं।,दो आदमी शतरंज खेल रहे हैं।
main-captions,MSRvid,2012test,9,4.25,एक आदमी सेलो खेल रहा है।,बैठा एक आदमी सेलो खेल रहा है।
main-captions,MSRvid,2012test,11,4.25,कुछ आदमी लड़ रहे हैं।,दो आदमी लड़ रहे हैं।
main-captions,MSRvid,2012test,12,0.5,एक आदमी धूम्रपान कर रहा है।,एक आदमी स्केटिंग कर रहा है।
main-captions,MSRvid,2012test,13,1.6,आदमी पियानो बज रहा है।,आदमी गिटार बजा रहा है।
main-captions,MSRvid,2012test,14,2.2,एक आदमी एक गिटार पर खेल रहा है और गा रहा है।,एक महिला एक ध्वनिक गिटार और गायन खेल रही है।
main-captions,MSRvid,2012test,16,5,एक व्यक्ति एक बिल्ली को छत पर फेंक रहा है।,एक व्यक्ति एक बिल्ली को छत पर फेंकता है।
main-captions,MSRvid,2012test,17,4.2,आदमी ने दूसरे आदमी को छड़ी से मारा।,आदमी ने दूसरे आदमी को छड़ी से छेड़ दिया।
main-captions,MSRvid,2012test,18,4.6,एक महिला उठाती है और एक बच्चा कंगारू रखती है।,एक महिला उठाती है और अपनी बाहों में एक बच्चा कंगारू रखती है।
main-captions,MSRvid,2012test,19,3.867,एक आदमी एक बांसुरी बजा रहा है।,एक आदमी एक बांस की बांसुरी बजा रहा है।
main-captions,MSRvid,2012test,20,4.667,एक व्यक्ति कागज के एक टुकड़े को मोड़ रहा है।,कोई कागज का एक टुकड़ा मोड़ रहा है।
main-captions,MSRvid,2012test,21,1.667,एक आदमी सड़क पर चल रहा है।,एक पांडा कुत्ता सड़क पर चल रहा है।
main-captions,MSRvid,2012test,22,3.75,एक कुत्ता बेकन को अपनी पीठ से निकालने की कोशिश कर रहा है।,एक कुत्ता अपनी पीठ पर बेकन खाने की कोशिश कर रहा है।
main-captions,MSRvid,2012test,25,5,ध्रुवीय भालू बर्फ पर फिसल रहा है।,एक ध्रुवीय भालू बर्फ के पार फिसल रहा है।
main-captions,MSRvid,2012test,26,0.5,एक महिला लिख ​​रही है।,एक महिला तैराकी कर रही है।
main-captions,MSRvid,2012test,28,3.8,एक बिल्ली बच्चे के चेहरे के खिलाफ रगड़ रही है।,एक बिल्ली एक बच्चे के खिलाफ रगड़ रही है।
main-captions,MSRvid,2012test,29,5,आदमी घोड़े की सवारी कर रहा है।,एक आदमी घोड़े पर सवार है।
main-captions,MSRvid,2012test,30,3.2,एक आदमी एक बर्तन में तेल डालता है।,एक आदमी एक बर्तन में शराब डालता है।
main-captions,MSRvid,2012test,31,2.8,एक आदमी एक गिटार बजा रहा है।,एक लड़की एक गिटार बजा रही है।
main-captions,MSRvid,2012test,32,4.6,एक पांडा एक स्लाइड के नीचे फिसल रहा है।,एक पांडा एक स्लाइड नीचे स्लाइड करता है।
main-captions,MSRvid,2012test,34,3,एक महिला कुछ खा रही है।,एक महिला मांस खा रही है।
main-captions,MSRvid,2012test,35,5,एक महिला एक आलू को छीलती है।,एक महिला एक आलू छील रही है।
main-captions,MSRvid,2012test,38,4.8,लड़का अपनी बाइक से गिर गया।,एक लड़का अपनी बाइक से गिर जाता है।
main-captions,MSRvid,2012test,40,5,महिला बांसुरी बजा रही है।,एक महिला एक बांसुरी बजा रही है।
main-captions,MSRvid,2012test,42,4.2,एक ईगल से एक खरगोश चल रहा है।,एक ईगल से एक हरे चल रहा है।
main-captions,MSRvid,2012test,44,4.2,महिला एक ब्रेडेड पोर्क चॉप को भून रही है।,एक महिला एक ब्रेडेड पोर्क चॉप पका रही है।
main-captions,MSRvid,2012test,46,4,एक लड़की पतंग उड़ा रही है।,दौड़ने वाली एक लड़की पतंग उड़ा रही है।
main-captions,MSRvid,2012test,47,4,एक आदमी एक यांत्रिक बैल की सवारी कर रहा है।,एक आदमी ने एक यांत्रिक बैल की सवारी की।
main-captions,MSRvid,2012test,48,4.909,आदमी गिटार बजा रहा है।,एक आदमी एक गिटार बजा रहा है।
main-captions,MSRvid,2012test,50,3,एक महिला अन्य महिलाओं के साथ नृत्य और गा रही है।,एक महिला बारिश में नाच रही है और गा रही है।
main-captions,MSRvid,2012test,52,2.4,एक आदमी एक बन्सिंग कर रहा है।,एक आदमी एक प्याज को काट रहा है।
main-captions,MSRvid,2012test,53,4.2,एक आदमी एक पैन में तेल डाल रहा है।,एक आदमी एक कड़ाही में तेल डाल रहा है।
main-captions,MSRvid,2012test,54,3.4,एक शेर लोगों के साथ खेल रहा है।,एक शेर दो पुरुषों के साथ खेल रहा है।
main-captions,MSRvid,2012test,55,5,एक कुत्ता एक स्केटबोर्ड की सवारी करता है।,एक कुत्ता एक स्केटबोर्ड की सवारी कर रहा है।
main-captions,MSRvid,2012test,56,3.75,कोई एक प्रतिमा पर नक्काशी कर रहा है।,एक आदमी एक प्रतिमा पर नक्काशी कर रहा है।
main-captions,MSRvid,2012test,57,2.75,एक महिला एक प्याज को काट रही है।,एक आदमी एक प्याज काट रहा है।
main-captions,MSRvid,2012test,58,5,एक महिला झींगा झींगा।,एक महिला झींगा छील रही है।
main-captions,MSRvid,2012test,59,4,एक महिला मछली तल रही है।,एक महिला मछली पक रही है।
main-captions,MSRvid,2012test,61,3.6,एक महिला एक इलेक्ट्रिक गिटार बजा रही है।,एक महिला एक गिटार बजा रही है।
main-captions,MSRvid,2012test,62,1.6,एक बेबी टाइगर एक गेंद के साथ खेल रहा है।,एक बच्चा एक गुड़िया के साथ खेल रहा है।
main-captions,MSRvid,2012test,64,1.75,एक व्यक्ति एक टमाटर को काट रहा है।,एक व्यक्ति कुछ मांस को काट रहा है।
main-captions,MSRvid,2012test,65,5,एक व्यक्ति एक प्याज काटता है।,एक व्यक्ति एक प्याज काट रहा है।
main-captions,MSRvid,2012test,68,1,एक आदमी पियानो बज रहा है।,एक महिला वायलिन बजा रही है।
main-captions,MSRvid,2012test,69,1,एक महिला बांसुरी बजा रही है।,एक आदमी गिटार बजा रहा है।
main-captions,MSRvid,2012test,70,2.375,एक आदमी एक आलू काट रहा है।,एक आदमी गाजर को काट रहा है।
