datetime,tweet,hate,sentiment,profanity
2009-09-03 12:19:05+00:00,"Ganapati bappa morya, pudhya varshi lavkar ya",0.0,1.0,0.0
2012-07-01 08:49:50+00:00,@USER gammat kartoy ga! kai level ahe ka tya picture chi! Sunny Deol chya expression peksha dagad bari expressions deil! ;),0.0,1.0,0.0
2022-01-03 18:13:09+00:00,@USER Mamachi 2 ekar kelichi baag aahe.. Shikran tar aslach pahije..,0.0,0.0,0.0
2009-07-12 00:54:10+00:00,"@USER Wud luv to see Heroes in marathi !!! ""He bagh dada.. mi uduu shakto !! ""... :P",0.0,1.0,0.0
2011-04-29 18:50:44+00:00,"@USER mba 1st yr complete, ata summer internship job kartoy..ani july pasun 2nd yr suru honar..baki tu bol kashi ahes kas kay challay?",0.0,1.0,0.0
2009-10-14 05:14:08+00:00,paper vachun zala... 3 vegle vegle paper vaachle.. pan nishkarshe ekach nighala ki punyat 50 takke voting pan nahi zale... laaz ahe hi..,0.0,-1.0,0.0
2021-11-11 06:17:56+00:00,@USER @USER @USER @USER Ho ka.. Rathod saheb tumhich yogya maargdarshan kara bara ata,0.0,1.0,0.0
2013-01-20 11:31:53+00:00,@USER nusta kaliyug nai ghor kaliyug ahe he......:-D,0.0,-1.0,0.0
2015-12-26 05:20:58+00:00,@USER yes..dokyat aahech mazya..but satat update dene avghad vattay..2-3 jan milun ek handle sambhalu shakto ka aapan? @USER,0.0,-1.0,0.0
2019-05-29 16:44:27+00:00,Jevdha trp me 3 divsat dila na..tevdha itar so called celebrities nahi deu shakle astil 3 divsan pasun fakta Ni fakta suru ahe,0.0,-1.0,0.0
2018-08-10 13:54:00+00:00,@USER life madhe yenar konitari tevha honar ki change,0.0,0.0,0.0
2020-10-20 20:09:18+00:00,@USER Jis k hukam per kidnapped Howa us ko he tafteesh kernay ka bol Diya hay. AAP itnay jhalay Nazar to nahi aatay jitnay bun rehay ho,1.0,-1.0,0.0
2021-04-20 15:26:21+00:00,@USER Kunitari sheth la suddha tambut pathva re...kiti ti nirarthak badbad...yanna galyala shek dyaycha asto tevha yetat aaple bhashan dyayla...,1.0,-1.0,0.0
2021-01-19 16:19:49+00:00,@USER Amchya Kade pan,0.0,0.0,0.0
2013-02-23 12:24:07+00:00,@USER i wanna know abt special saturday foods in ? Aj mood ahe,0.0,0.0,0.0
2016-02-20 04:12:40+00:00,@USER mhanje Mumbai la jaat naahi :(,0.0,-1.0,0.0
2020-08-25 17:22:05+00:00,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER amchya all neet student chi bad wishes ahe tumhala ,0.0,-1.0,0.0
2012-08-28 08:50:01+00:00,@USER ahe ahe ithech ahe,0.0,0.0,0.0
2022-08-18 10:40:26+00:00,@USER Wo Shelar kadhu tumcha bhau tari nivdun aala ka ward madun,0.0,0.0,0.0
2022-10-16 16:32:05+00:00,@USER Pradushancha tras 80% hinduna nahi honar. Shahanyane nahi bollo tr br sir.ata bagha tumhi joshi asun dekhil tumhala muslim ghoshit krnar.,0.0,-1.0,0.0
2019-08-29 14:37:30+00:00,@USER Means tumche kavita roj vachayla miltil,0.0,1.0,0.0
2013-03-12 07:07:22+00:00,@USER he zala govt cha. aamcha ek prof bolto tumhala Malayalam yet nahi mhanje tumhi Illiterate aahat. @USER,0.0,-1.0,0.0
2018-03-29 12:29:39+00:00,@USER Kamit kami sthagith karale pahije....Mage kashala mag suruch kashala kele ???,0.0,-1.0,0.0
2020-06-14 07:35:04+00:00,@USER @USER Road complete jhala ka... Yavatmal -Wardha - Nagpur mala mahit ahe Solapur - Nanded - Yavatmal ch nahi...,0.0,0.0,0.0
2012-10-24 11:36:12+00:00,Mumbai Comic Con...pudhchya varshi lavkar ya!,0.0,1.0,0.0
2010-11-25 07:01:45+00:00,I am missing my frnd vaish who has started avoiding everybody including me? Kay jhalay tula huhh??,0.0,-1.0,0.0
2013-12-13 11:02:11+00:00,Gangubai yeh aahe tumcha ghari ! Paha Kumari Gangubai Non Matric TV var hya ravivari. 15th December tarik visru naka: youtu.be/IBW2AxVhU_E,0.0,0.0,0.0
2012-07-11 16:02:06+00:00,@USER mi aahe .. mi kuthe jaNaar twitter sodun ? mala kuthe yeta facebook - facebook kheLataa ? :) @USER,0.0,0.0,0.0
2019-05-13 16:25:25+00:00,@USER Ho maahit aahe mhnun sangital,0.0,0.0,0.0
2019-08-21 17:56:32+00:00,@USER amchi Mula diploma kartay ani change mark milatat ..tumhala konhi hak dila tyanche seats kami karyance,1.0,-1.0,0.0
2013-02-08 17:49:59+00:00,@USER *gives a naughty look* hahaha... tumchya nantar amchi pan hava tight. ;) :P,0.0,0.0,0.0
2021-10-27 08:06:52+00:00,@USER @USER sagli nahi mhanalo me 90% peksha jast ..there are some ppl always show spine,0.0,1.0,0.0
2021-03-08 18:52:05+00:00,@USER Ghetli ka didi?,0.0,0.0,0.0
2020-07-21 11:14:31+00:00,@USER  bapala dilelya eka vachana sathi mulga Kashi akkhya Maharashtrachi vaat laavo shakto,0.0,-1.0,0.0
2015-06-09 07:12:03+00:00,@USER lol tuze pic baghayla Wtsapp ch ka pahije? ,0.0,0.0,0.0
2016-07-02 20:41:06+00:00,@USER enjoy mam.....punyat pan jorat suru zalay paus...,0.0,1.0,0.0
2020-05-09 10:57:28+00:00,"@USER Tulach kase yetat re, asle email?",0.0,0.0,0.0
2012-04-19 19:18:18+00:00,@USER dili party dili ..! Kya pahije kya pahije saang phakt ...!,0.0,1.0,0.0
2017-10-27 05:45:25+00:00,@USER Je kahi asnar te tu kartoyes mhanje mastach asnar.. Paris ch tu sonach karnar... Amhi vaat pahatoi Dada.. ,0.0,1.0,0.0
2019-08-18 08:04:51+00:00,@USER @USER @USER @USER But saglyana kala pahije na?,0.0,0.0,0.0
2012-05-23 16:31:35+00:00,Bravo baghtos kuthe martos kuthe...kay re baba...amchya vel cha player tu...hahahahhaha ! Dwayne is Brave ;),0.0,1.0,0.0
2017-09-29 05:06:35+00:00,@USER Pune is pune ek vegli ch jaadu Aahe,0.0,1.0,0.0
2012-04-06 05:18:34+00:00,@USER mam mi tumche drawing kelay te fb var load karu?,0.0,0.0,0.0
2022-05-26 16:59:09+00:00,@USER Prewed shoot sathi senior citizens pahije jayla,0.0,0.0,0.0
2011-06-28 18:23:17+00:00,@USER ho kadhich 2 weeks zale..,0.0,0.0,0.0
2015-12-20 14:49:28+00:00,@USER kon ahe ti....sang amhala,0.0,0.0,0.0
2018-05-01 01:55:30+00:00,chya dina nimitta aplya pratyek nagrikala shubhecha.,0.0,1.0,0.0
2022-12-17 16:54:07+00:00,"@USER Congratulations, lagech back cover ani screen glas takun ghya.",0.0,1.0,0.0
2020-12-30 16:38:21+00:00,@USER Me too...pan nai tumhala tar ghan photo kadhyache astat maze,0.0,-1.0,0.0
2017-07-23 17:45:12+00:00,"@USER Pressure aala tyancha vr, jaude aata jevdha khelle tevdha changla khelle",0.0,1.0,0.0
2012-08-04 13:29:23+00:00,@USER Are mhanje i mean to say ki sagalyannach asa nahi na vatat.,0.0,0.0,0.0
2012-12-06 09:57:48+00:00,@USER navach nahi chapla tar kiva tya production ne ti pustika chapayla tumhala sahakaryach kela nahi tar...,0.0,-1.0,0.0
2023-01-04 13:43:44+00:00,@USER Amchya kade jaun parat aali,0.0,0.0,0.0
2012-03-03 15:27:59+00:00,"Prem mhanje janmo janmache atut nate, Je mukt bhavnechya shabdat vadhte, Prem mhanje janu thanditla bedhund gaar...",0.0,1.0,0.0
2012-01-09 06:08:48+00:00,@USER arey mhanje r u back in india?,0.0,1.0,0.0
2015-11-08 17:38:18+00:00,"@USER pallu vahini, ashi kutri banun vaak na majhyasamor mhanje maza arabi ghoda tuzya gandit ghalato mast",1.0,-1.0,1.0
2018-12-08 18:18:16+00:00,@USER Punya sarkha nahi ye tikde ... exception apart ,0.0,0.0,0.0
2012-02-16 05:46:35+00:00,@USER aamchya ithe nahi aahe.. Mumbai madhe aahe..,0.0,0.0,0.0
2012-10-10 15:11:11+00:00,@USER Arey asach ga pori... Dance cha nav ghetla tar asach honar na... Hum har kaam jaan lagakar karte hai... ;),0.0,1.0,0.0
2017-02-25 18:36:34+00:00,Tya peksha te sharad ponkshe la vichar....,0.0,0.0,0.0
2012-09-29 12:56:11+00:00,Ganpati bappa morya pudchiya varshi lavkar yaaa..:-) finally going for visarjan..:-D,0.0,1.0,0.0
2011-10-10 20:55:32+00:00,@USER Pavsala chalu zalay ka tikde?,0.0,0.0,0.0
2018-03-18 14:15:50+00:00,@USER Saheb net slow jhalay khup saglyanach live disat nahee hee ...,0.0,-1.0,0.0
2021-10-02 07:55:04+00:00,"Driver: Chaayla, tumchya saathi Uddhavane underground cycle track banavle na re? Road var kashaala yetat?",1.0,-1.0,1.0
2021-04-03 01:41:20+00:00,"@USER Sir mi aadhich kele aahe tumhala, tumhich nahi kele",0.0,0.0,0.0
2011-12-23 16:33:14+00:00,nikhil wagaleji aajcha sawal madhe samorcha vyaktila bolu det jave.... annanpeksha tumhich aggresiv zalet,0.0,0.0,0.0
2022-04-14 04:24:39+00:00,@USER Hey aap aplya Baiko la dakhwa,0.0,0.0,0.0
2019-11-18 19:14:46+00:00,@USER @USER Ani tyana marathi lihayla vachala yet te pn ekdam chhn tumhala amhala pn yet nasel kadachit,0.0,1.0,0.0
2017-07-26 02:41:56+00:00,@USER aree Lalit Bhau tumcha photo taka,0.0,0.0,0.0
2017-05-26 18:03:11+00:00,"@USER @USER Ajun 7 warsh modinchya navane khade phodayche aahet tumhala , keep it up",1.0,-1.0,0.0
2010-05-27 08:47:50+00:00,@USER hahaha!! blow baghitlas!! blow cha business plan kasa vatla??! :D :D aplya kade air hostess pan ahe! ;),0.0,0.0,0.0
2022-06-26 15:07:08+00:00,@USER Marathi channels la ghabraun thevlela ahey. Marathit ishara karaila sopa ahey Hindi peksha.,0.0,-1.0,0.0
2013-04-29 14:45:26+00:00,@USER tumhi hech follow kele aahe ani amhala dar veli navi navi treat dili aahe.. Valu being the best.. All the best for future!,0.0,1.0,0.0
2018-02-27 15:34:35+00:00,@USER 1 number nirupam saheb...mumbai cha youth tumchya sobat aahe...,0.0,1.0,0.0
2022-03-25 04:45:28+00:00,@USER saheb tumchat dum asel tr ekda chandrapur la yeun bagha mag kalel tumhala,1.0,-1.0,0.0
2013-04-09 15:25:50+00:00,"This just killed me! Lmao =)) =)) RT @USER ""Bochyat tak tumchya Pondulkar. Lavdya."" - Every mumbaikar right now.",1.0,-1.0,1.0
2021-05-11 16:11:54+00:00,@USER @USER Me IPL madhye haarto pan football madhye naahi haarat kadhich,0.0,-1.0,0.0
2022-11-13 15:37:23+00:00,@USER Rajkaran tar saglech aahe…pan manuski japun rajkaran karne fakt tumhich saheb…,0.0,1.0,0.0
2011-10-01 07:59:26+00:00,Dear lataji mi aapla pratyek tweet wachtana tumchya aawajat aiklya sarkha watate . @USER,0.0,1.0,0.0
2012-09-25 19:27:29+00:00,Ganpati bappa morya . Pudhchya Varshi lavkar ya.,0.0,1.0,0.0
2022-05-15 18:50:25+00:00,@USER kutha hishob thevaycha... saral pudhe nighaycha...niwant,0.0,0.0,0.0
2018-07-20 03:04:15+00:00,@USER Saheb tumhi ladha janta tumcha pathishi ahe,0.0,1.0,0.0
2022-07-12 10:28:53+00:00,"@USER @USER Tyana bolnya agodar tumchya Dhanu Bhau che kuttha kutha kitti baika pora ahe teh bhag, sandas chatya ",1.0,-1.0,1.0
2012-07-27 16:13:57+00:00,@USER KYA SUPER COOL HAI HUM...ROCKS..awsum movie..ritesh dada tuhi tar..umm kai shabdach nai a bolayla..eknumber movie..,0.0,1.0,0.0
2022-11-06 07:32:40+00:00,@USER @USER @USER Savrakarana virodh mhanje kaay kele? Aani bar koni firaknaar nahi ashi bhavishyawani karnara tu kon?? Nastradamus ka,1.0,-1.0,0.0
2017-07-02 17:58:42+00:00,@USER @USER @USER Shahrukh tari bhetla asta.,0.0,0.0,0.0
2013-02-26 18:47:44+00:00,@USER tumche kai paise baaki ahet ka RajT kadhe ? @USER @USER,0.0,0.0,0.0
2013-10-17 05:53:18+00:00,@USER bhava kama mule time bhetla nahi ..,0.0,-1.0,0.0
2021-12-13 02:26:36+00:00,@USER Tula kay pahije hota..,0.0,0.0,0.0
2012-06-07 14:40:46+00:00,@USER chya dokyat gele tila pahije navra nawa ;):),0.0,1.0,0.0
2012-10-28 14:11:41+00:00,@USER mumbai madhye aapla punhaa ekhda swagat. Looking for a good food stylist. Any suggestions?,0.0,1.0,0.0
2017-02-24 14:12:07+00:00,@USER dusrya linkvarun zala open,0.0,0.0,0.0
2010-09-28 15:41:48+00:00,"@USER didi, tumhala vadhdivsachya khup khup shubhechha!! twitter mule tumachya paryant ase pochata yene ki bhagya ahe amache",0.0,1.0,0.0
2011-09-11 07:30:00+00:00,'lavkar' is now trending in,0.0,0.0,0.0
2021-05-11 09:41:14+00:00,Exam ghetli ki eka chi tri wicket guaranteed padnar !,0.0,0.0,0.0
2022-07-21 15:47:01+00:00,@USER @USER @USER @USER @USER @USER @USER Arey bhau pahile pahate shapath koni ghetli hoti?? Khup LAD zaale tumche,0.0,-1.0,0.0
2017-06-24 10:27:59+00:00,"@USER : Arre, tu Thanyala kadhi perform karnar aahes ? Thanyachya lokanna Western suburbs la yayla khup katkat Aahe.",0.0,-1.0,0.0
2011-04-30 03:20:53+00:00,"@USER hmm ajun kahi tharla nahiye.. May be aaj ""Aayushyavar bolu kahi"" kivva maharashtra state awards aahet tikde jain!",0.0,0.0,0.0
2022-11-18 15:14:07+00:00,@USER @USER Deshpandya la mand saiinik sodun kutr koni olakhat hi na an koni hungatahi nahi tyachyavar kon khat re tya deshpandya la,1.0,-1.0,0.0
2019-04-23 18:49:49+00:00,@USER @USER Sir uttar pahije.... ata kaay bolnar?,0.0,0.0,0.0
2012-04-12 13:50:53+00:00,@USER Kay zhala fairy sahiba?,0.0,0.0,0.0
2022-03-17 11:41:49+00:00,@USER Tumhala Pun,0.0,0.0,0.0
2013-02-26 13:43:34+00:00,@USER hot vatayla pahije hota ka mag?? :o @USER,0.0,0.0,0.0
2020-06-19 06:50:40+00:00,@USER Sir mala pan pahije Tarripoha ,0.0,0.0,0.0
2022-05-26 16:43:12+00:00,@USER @USER @USER @USER @USER @USER Hukumshahi aahe bharatat mahit nahi ka tumhala ajun Godi media baghu naka te khotya batmya dakhavtat,1.0,-1.0,0.0
2022-08-17 02:16:33+00:00,@USER Address sends kra mi pathvto letter tumhala,0.0,0.0,0.0
2013-04-09 11:12:07+00:00,@USER @USER Amhi konachya jivavar jagat nahi.Mehnatine kamavto.mala 1re milat nahi kadun..tumhala milat asel kadun,0.0,1.0,0.0
2022-06-05 15:34:23+00:00,@USER abbe  mi kadhich nahi khalle tase,0.0,-1.0,0.0
2019-04-24 13:29:19+00:00,Satyanash - Shivaji ani Balasaheb radtil ho varti thodesi tari laaj naahi vaatli tumhala??,1.0,-1.0,0.0
2013-02-26 17:30:55+00:00,@USER sir tumche raj changle mitra ahet na,0.0,0.0,0.0
2014-08-22 19:42:56+00:00,"@USER sleepover mhanje, zhopayla challi?!",0.0,0.0,0.0
2020-04-07 11:24:18+00:00,@USER @USER @USER @USER @USER Good one. Puny peksha chhyan colleges aahet ithe Mumbait,0.0,1.0,0.0
2021-05-11 15:30:27+00:00,M.p vale Maharashtraavar khapar fhodato mag tumhi tyanci baju gheta b.j.p valyavo laj vatudya tumhala,1.0,-1.0,0.0
2013-05-01 05:28:30+00:00,@USER having said that.. Vegla Vidarbha jhalach pahije.. Ch'grh grwth story example of need of smaller states!,0.0,1.0,0.0
2010-12-21 12:29:31+00:00,Hya kanda-samasyebaddal Kanda sansthanachya ranisaheb 'tang ting tingak' sodun ajun kahi uttar denar ahet ka?,0.0,0.0,0.0
2015-05-22 17:39:04+00:00,@USER @USER ho rao....kharach...amhala pn pic baghaychay!!,0.0,1.0,0.0
2020-06-05 10:49:26+00:00,"@USER Sena mhnaje army, lashkar mhnayach aahe na tumhala?",0.0,0.0,0.0
2012-05-17 04:09:57+00:00,@USER jaasta traas nako karu aai la. Jamel tevdha aan. Luggage limited asu de. @USER @USER @USER,0.0,-1.0,0.0
2012-12-27 04:29:26+00:00,"@USER wanted to attend your workshop yesterday...damn, dada tu punyat kadhi astos?",0.0,1.0,0.0
2012-08-01 05:42:43+00:00,"Hehe amachya kade aaj tech ahe :-) ""@USER @USER ooopsss te sodun bol.. kiti ghan vas yeto yaar tyala.. :-/ @USER",0.0,-1.0,0.0
2018-07-13 11:37:47+00:00,@USER @USER @USER Bakichyache parents dakhavayala pahije. Fair ha sagalikade jhala pahije,0.0,0.0,0.0
2020-07-08 07:32:36+00:00,@USER Vel bhetla tr comments vacha,0.0,0.0,0.0
2021-06-07 11:20:23+00:00,@USER Asach kadhi amhala pan vichara.,0.0,0.0,0.0
2012-10-18 07:42:12+00:00,Plz share tumche gharache light bill kiti aala.....,0.0,0.0,0.0
